corpus,cell,K_available,K_pool,n_subsets,phi_min,phi_p25,phi_med,phi_p75,phi_max,phi_full,phi_greedy_min,phi_greedy_max
MoralChoice,low|openai_gpt-4,6,4,15,8.131516293641284e-17,0.0010529070437544094,0.0031378489504436365,0.004893794252394858,0.007288629737609369,0.003956927867151026,0.0006480881399870135,0.007288629737609369
MoralChoice,low|openai_gpt-4,6,5,6,0.0007290400972053251,0.0036499310568578296,0.0036499310568578296,0.004465689761299022,0.005622657226155794,0.003956927867151026,0.0007290400972053242,0.005622657226155794
MoralChoice,low|openai_gpt-4,6,6,1,0.003956927867151026,0.003956927867151026,0.003956927867151026,0.003956927867151026,0.003956927867151026,0.003956927867151026,0.003956927867151026,0.003956927867151026
MoralChoice,low|openai_gpt-3.5-turbo,6,2,15,0.0,0.0006977330439284812,0.018674251793222883,0.10099807290676724,0.14144271570014152,0.0991772103811827,0.0,0.14144271570014152
MoralChoice,low|openai_gpt-3.5-turbo,6,3,20,0.0,0.012581968282020873,0.05523703286124897,0.12341304585750251,0.13535762098726753,0.0991772103811827,0.0,0.13535762098726753
MoralChoice,low|openai_gpt-3.5-turbo,6,4,15,0.0009098146252700879,0.01586553730436049,0.09872628960234817,0.11233681884749538,0.1306919173965033,0.0991772103811827,0.0009098146252700872,0.1306919173965033
MoralChoice,low|openai_gpt-3.5-turbo,6,5,6,0.013172816889121535,0.09751796319726949,0.09959730313393259,0.10263779515511443,0.12185083889970032,0.0991772103811827,0.013172816889121539,0.12185083889970032
MoralChoice,low|openai_gpt-3.5-turbo,6,6,1,0.0991772103811827,0.0991772103811827,0.0991772103811827,0.0991772103811827,0.0991772103811827,0.0991772103811827,0.09917721038118273,0.09917721038118273
MoralChoice,low|openai_text-davinci-003,6,2,14,0.0,0.008759124087591262,0.016058394160583904,0.5342138360509542,0.5664233576642335,0.5175182977375028,0.0,0.5664233576642335
MoralChoice,low|openai_text-davinci-003,6,3,20,0.0023393488016805256,0.010552048116673792,0.2701879162994254,0.5374975490843665,0.5664233576642335,0.5175182977375028,0.0023393488016805256,0.5664233576642335
MoralChoice,low|openai_text-davinci-003,6,4,15,0.005904298459042953,0.013193482023139969,0.5239586659837917,0.5359898951868539,0.5526720762779898,0.5175182977375028,0.00690671186655473,0.5526720762779898
MoralChoice,low|openai_text-davinci-003,6,5,6,0.00917474692397051,0.515404888929934,0.5210286781424989,0.5278453003618739,0.5384443373844434,0.5175182977375028,0.00917474692397051,0.5384443373844434
MoralChoice,low|openai_text-davinci-003,6,6,1,0.5175182977375028,0.5175182977375028,0.5175182977375028,0.5175182977375028,0.5175182977375028,0.5175182977375028,0.5175182977375028,0.5175182977375028
MoralChoice,low|openai_text-davinci-002,6,2,15,0.0,0.006258009735592621,0.020891414052299113,0.6539716252830479,0.7303919099498964,0.5616381556074487,0.0,0.7303919099498964
MoralChoice,low|openai_text-davinci-002,6,3,20,0.0011748470833954805,0.010827866860843773,0.31598996512009575,0.6474680526321857,0.6968452870395033,0.5616381556074487,0.001174847083395481,0.6968452870395033
MoralChoice,low|openai_text-davinci-002,6,4,15,0.006495890014793724,0.018583559962843582,0.5971052723290521,0.6232286009182562,0.6582917462849934,0.5616381556074487,0.006495890014793724,0.6582917462849934
MoralChoice,low|openai_text-davinci-002,6,5,6,0.013619904464508198,0.5679369167563335,0.5833705430885413,0.5929128653186577,0.6173066333446289,0.5616381556074487,0.013619904464508194,0.6173066333446289
MoralChoice,low|openai_text-davinci-002,6,6,1,0.5616381556074487,0.5616381556074487,0.5616381556074487,0.5616381556074487,0.5616381556074487,0.5616381556074487,0.5616381556074486,0.5616381556074487
MoralChoice,low|anthropic_claude-v1.3,6,2,15,0.0,0.0,0.011578261813445307,0.02687484306732739,0.04574539739559954,0.01965955785775703,0.0,0.04574539739559954
MoralChoice,low|anthropic_claude-v1.3,6,3,20,0.0,0.010227272727272736,0.015200138450388622,0.028988001620276888,0.03581883523335797,0.01965955785775703,0.0,0.03581883523335797
